HALOID,PMEM,Strength,MEM_MATCH_ID,Rank
23624373,6.83506822586,0.215902984142,4588,1
23628246,4.18885946274,0.13231575489,4588,2
23624376,3.52049875259,0.111203886569,4588,3
23624378,3.02736115456,0.0956268832088,4588,4
23583175,2.11217904091,0.0667185336351,4588,5
23577308,1.70742940903,0.0539334900677,4588,6
23647554,1.63574659824,0.0516692064703,4588,7
23565083,0.97699701786,0.0308609306812,4588,8
23622987,0.939959228039,0.0296909976751,4588,9
23663094,0.926167905331,0.0292553640902,4588,10
23622989,0.726770043373,0.0229568760842,4588,11
23628247,0.693220198154,0.0218971185386,4588,12
23657318,0.642875134945,0.0203068424016,4588,13
23629469,0.571628332138,0.0180563312024,4588,14
23588874,0.535571753979,0.0169173926115,4588,15
24539940,0.467694282532,0.0147733110934,4588,16
24551704,0.413438737392,0.0130595117807,4588,17
23668499,0.38357129693,0.0121160726994,4588,18
23602989,0.294108241796,0.00929015502334,4588,19
24539932,0.286548823118,0.00905137229711,4588,20
24546895,0.262278407812,0.0082847289741,4588,21
23579655,0.256573230028,0.00810451712459,4588,22
24558649,0.0697345510125,0.00220274273306,4588,23
23594367,0.068835042417,0.00217432947829,4588,24
24576818,0.0534731186926,0.00168908422347,4588,25
24554475,0.0498379655182,0.00157425866928,4588,26
24539939,0.0116296969354,0.000367353495676,4588,27
